시도명,구시군명,읍면동명,투표구명,선거인수,투표수,"새누리당
박근혜","민주통합당
문재인","무소속
박종선","무소속
김소연","무소속
강지원","무소속
김순자",계,"무효
투표수",기권수
전국,합계,,,40507842,30721459,15773128,14692632,12854,16687,53303,46017,30594621,126838,9786383
서울특별시,합계,,,8393847,6307869,3024572,3227639,3559,3793,11829,5307,6276699,31170,2085978
서울특별시,종로구,소계,,141447,103189,49422,52747,73,86,211,97,102636,553,38258
서울특별시,종로구,재외투표,,2138,1626,798,807,1,0,5,6,1617,9,512
서울특별시,종로구,국내부재자투표,,2689,2507,1167,1274,2,3,6,7,2459,48,182
서울특별시,종로구,소계,,136620,99052,47457,50662,70,83,200,84,98556,496,37568
서울특별시,종로구,청운효자동,소계,11605,8907,4233,4598,4,10,18,4,8867,40,2698
서울특별시,종로구,,청운효자동제1투,3596,2631,1302,1307,1,4,8,1,2623,8,965
서울특별시,종로구,,청운효자동제2투,4068,3159,1576,1556,3,3,4,2,3144,15,909
서울특별시,종로구,,청운효자동제3투,3941,3117,1355,1735,0,3,6,1,3100,17,824
서울특별시,종로구,사직동,소계,8342,6040,3448,2551,4,5,10,2,6020,20,2302
서울특별시,종로구,,사직동제1투,3799,2637,1272,1346,2,2,4,1,2627,10,1162
서울특별시,종로구,,사직동제2투,4543,3403,2176,1205,2,3,6,1,3393,10,1140
서울특별시,종로구,삼청동,소계,2767,2032,1099,909,0,1,9,2,2020,12,735
서울특별시,종로구,,삼청동투표소,2767,2032,1099,909,0,1,9,2,2020,12,735
서울특별시,종로구,부암동,소계,8897,6688,3381,3256,3,6,9,3,6658,30,2209
서울특별시,종로구,,부암동제1투,3500,2460,1200,1239,1,2,4,1,2447,13,1040
서울특별시,종로구,,부암동제2투,2731,2162,1086,1058,2,3,3,2,2154,8,569
서울특별시,종로구,,부암동제3투,2666,2066,1095,959,0,1,2,0,2057,9,600
서울특별시,종로구,평창동,소계,15575,11753,6958,4700,1,8,31,7,11705,48,3822
서울특별시,종로구,,평창동제1투,3113,2222,1291,910,0,3,10,1,2215,7,891
서울특별시,종로구,,평창동제2투,4605,3448,2188,1230,1,3,8,1,3431,17,1157
서울특별시,종로구,,평창동제3투,2516,1912,1134,761,0,1,6,1,1903,9,604
서울특별시,종로구,,평창동제4투,2498,2010,1110,889,0,0,4,2,2005,5,488
서울특별시,종로구,,평창동제5투,2843,2161,1235,910,0,1,3,2,2151,10,682
서울특별시,종로구,무악동,소계,6589,5117,2502,2568,2,1,12,4,5089,28,1472
서울특별시,종로구,,무악동제1투,2358,1921,950,956,0,1,2,3,1912,9,437
서울특별시,종로구,,무악동제2투,4231,3196,1552,1612,2,0,10,1,3177,19,1035
서울특별시,종로구,교남동,소계,7414,5100,2384,2665,4,8,6,8,5075,25,2314
서울특별시,종로구,,교남동제1투,4349,2967,1360,1575,3,7,2,7,2954,13,1382
서울특별시,종로구,,교남동제2투,3065,2133,1024,1090,1,1,4,1,2121,12,932
서울특별시,종로구,가회동,소계,4476,3403,1665,1705,1,3,7,9,3390,13,1073
서울특별시,종로구,,가회동투표소,4476,3403,1665,1705,1,3,7,9,3390,13,1073
서울특별시,종로구,종로1·2·3·4가동,소계,7270,4440,2432,1957,7,4,10,4,4414,26,2830
서울특별시,종로구,,종로1·2·3·4가동제1투,3949,2073,1205,842,4,1,5,2,2059,14,1876
서울특별시,종로구,,종로1·2·3·4가동제2투,3321,2367,1227,1115,3,3,5,2,2355,12,954
서울특별시,종로구,종로5·6가동,소계,5213,3574,1715,1844,2,2,4,1,3568,6,1639
서울특별시,종로구,,종로5·6가동제1투,2410,1577,821,747,0,2,4,0,1574,3,833
서울특별시,종로구,,종로5·6가동제2투,2803,1997,894,1097,2,0,0,1,1994,3,806
서울특별시,종로구,이화동,소계,7697,5608,2318,3244,5,5,9,4,5585,23,2089
서울특별시,종로구,,이화동제1투,3950,3016,1204,1786,3,2,3,2,3000,16,934
서울특별시,종로구,,이화동제2투,3747,2592,1114,1458,2,3,6,2,2585,7,1155
서울특별시,종로구,혜화동,소계,15254,11642,4782,6728,6,15,33,13,11577,65,3612
서울특별시,종로구,,혜화동제1투,3537,2783,1143,1617,2,2,5,2,2771,12,754
서울특별시,종로구,,혜화동제2투,3081,2317,986,1308,2,0,6,1,2303,14,764
서울특별시,종로구,,혜화동제3투,3217,2487,1157,1304,1,5,5,3,2475,12,730
서울특별시,종로구,,혜화동제4투,2866,2138,716,1394,0,4,10,3,2127,11,728
서울특별시,종로구,,혜화동제5투,2553,1917,780,1105,1,4,7,4,1901,16,636
서울특별시,종로구,창신제1동,소계,5665,3680,1619,2018,7,1,12,5,3662,18,1985
서울특별시,종로구,,창신제1동제1투,1924,998,496,487,2,0,5,2,992,6,926
서울특별시,종로구,,창신제1동제2투,3741,2682,1123,1531,5,1,7,3,2670,12,1059
서울특별시,종로구,창신제2동,소계,9250,6435,2548,3811,8,4,11,5,6387,48,2815
서울특별시,종로구,,창신제2동제1투,2555,1625,658,948,0,2,7,0,1615,10,930
서울특별시,종로구,,창신제2동제2투,3296,2403,1000,1378,3,0,1,1,2383,20,893
서울특별시,종로구,,창신제2동제3투,3399,2407,890,1485,5,2,3,4,2389,18,992
서울특별시,종로구,창신제3동,소계,6620,5020,2134,2838,5,3,7,3,4990,30,1600
서울특별시,종로구,,창신제3동제1투,2583,1811,723,1058,2,1,2,1,1787,24,772
서울특별시,종로구,,창신제3동제2투,4037,3209,1411,1780,3,2,5,2,3203,6,828
서울특별시,종로구,숭인제1동,소계,6051,4261,1877,2343,4,2,5,7,4238,23,1790
서울특별시,종로구,,숭인제1동제1투,3398,2229,1037,1178,1,1,1,4,2222,7,1169
서울특별시,종로구,,숭인제1동제2투,2653,2032,840,1165,3,1,4,3,2016,16,621
서울특별시,종로구,숭인제2동,소계,7935,5352,2362,2927,7,5,7,3,5311,41,2583
서울특별시,종로구,,숭인제2동제1투,1763,1136,555,567,1,0,1,1,1125,11,627
서울특별시,종로구,,숭인제2동제2투,3407,2199,965,1209,3,3,3,2,2185,14,1208
서울특별시,종로구,,숭인제2동제3투,2765,2017,842,1151,3,2,3,0,2001,16,748
서울특별시,종로구,잘못 투입·구분된 투표지,,0,4,0,4,0,0,0,0,4,0,-4
서울특별시,중구,소계,,115277,83095,40289,41919,67,56,151,71,82553,542,32182
서울특별시,중구,재외투표,,1534,1162,658,490,0,2,2,0,1152,10,372
